date,close
13-10-2022,2382.8
14-10-2022,2370.7
17-10-2022,2408.75
18-10-2022,2451.25
19-10-2022,2493.9
20-10-2022,2500.6
21-10-2022,2471.6
24-10-2022,2479.85
25-10-2022,2441.55
27-10-2022,2451.15
28-10-2022,2526.15
31-10-2022,2549.6
1-11-2022,2529.85
2-11-2022,2545.65
3-11-2022,2555.15
4-11-2022,2592.75
7-11-2022,2606.6
9-11-2022,2604
10-11-2022,2572.5
11-11-2022,2631.8
14-11-2022,2619.05
15-11-2022,2607.3
16-11-2022,2592.35
17-11-2022,2599.05
18-11-2022,2597.65
21-11-2022,2550.9
22-11-2022,2565.05
23-11-2022,2557.05
24-11-2022,2579.1
25-11-2022,2617.6
28-11-2022,2707.55
29-11-2022,2712.2
30-11-2022,2731.35
1-12-2022,2723.3
2-12-2022,272022.15
5-12-2022,2682.45
6-12-2022,2690.2
7-12-2022,2650.5
8-12-2022,2649.25
9-12-2022,2609.1
12-12-2022,2613.1
13-12-2022,2625
14-12-2022,2615.5
15-12-2022,2578.35
16-12-2022,2565.6
19-12-2022,2599.3
20-12-2022,2621.8
21-12-2022,2584.5
22-12-2022,2577.8
23-12-2022,2502.2
26-12-2022,2524.05
27-12-2022,2544.7
28-12-2022,2544.45
29-12-2022,2543.3
30-12-2022,2547.2
2-01-23,2575.9
3-01-23,2557.05
4-01-23,2518.55
5-01-23,2514.05
6-01-23,2536.9
9-01-23,2596.8
10-01-23,2558.4
11-01-23,2526.15
12-01-23,2471.6
13-01-23,2467.6
16-01-23,2444.1
17-01-23,2478.8
18-01-23,2474.7
19-01-23,2472.05
20-01-23,2442.65
23-01-23,2430.3
24-01-23,2415.95
25-01-23,2382.55
27-01-23,2337.35
30-01-23,2359.75
31-01-23,2353.85
1-02-23,2339.9
2-02-23,2326.95
3-02-23,2329
6-02-23,2311.45
7-02-23,2305.9
8-02-23,2351.95
9-02-23,2356.05
10-02-23,2336.65
13-02-23,2323.35
14-02-23,2378.1
15-02-23,2431.95
16-02-23,2430.05
17-02-23,2440.2
